Time,In Bit Rate,Out Bit Rate
28.Apr 11:15,1157372.43,1147702.96
28.Apr 11:20,2702363.17,2692538.29
28.Apr 11:25,986178.85,977297.17
28.Apr 11:30,918504.75,907778.24
28.Apr 11:35,1370155.25,1360283.15
28.Apr 11:40,943741.28,935021.07
28.Apr 11:45,955709.73,946107.87
28.Apr 11:50,1868919.57,1858018.53
28.Apr 11:55,1050487.17,1040816.27
28.Apr 12:00,985536.35,976064.93
28.Apr 12:05,1489909.73,1478245.76
28.Apr 12:10,991867.2,982892.85
28.Apr 12:15,996401.79,986884.69
28.Apr 12:20,924123.55,915366.72
28.Apr 12:25,1014461.25,1004627.89
28.Apr 12:30,872134.75,863287.07
28.Apr 12:35,891333.57,883082.53
28.Apr 12:40,968890.48,960019.76
28.Apr 12:45,1056339.12,1046499.68
28.Apr 12:50,1781129.17,1770981.57
28.Apr 12:55,953066.99,944402.64
28.Apr 13:00,1058035.2,1049840.69
28.Apr 13:05,1507839.25,1499728.27
28.Apr 13:10,1105582.85,1096109.17
28.Apr 13:15,1096087.17,1086705.15
28.Apr 13:20,1330335.95,1320632.08
28.Apr 13:25,1117981.73,1106833.97
28.Apr 13:30,995662.72,986022.99
28.Apr 13:35,1052189.63,1042177.89
28.Apr 13:40,988916.13,981281.89
28.Apr 13:45,1102033.55,1092441.44
28.Apr 13:50,2118988.45,2109496.11
28.Apr 13:55,1069582.03,1060398.43
28.Apr 14:00,1355974.67,1346848.16
28.Apr 14:05,1914025.57,1904130.24
28.Apr 14:10,1092619.84,1083000.59
28.Apr 14:15,957139.55,948102.75
28.Apr 14:20,1876047.57,1865971.15
28.Apr 14:25,1008948.43,999102.08
28.Apr 14:30,982461.17,972886.27
28.Apr 14:35,1215675.33,1204654.61
28.Apr 14:40,1042328.24,1031430.37
28.Apr 14:45,970836.32,960791.2
28.Apr 14:50,1656822.27,1645027.76
28.Apr 14:55,1033709.63,1022705.33
28.Apr 15:00,1061817.28,1051359.79
28.Apr 15:05,1140933.73,1127410.03
28.Apr 15:10,1505188.24,1490462.16
28.Apr 15:15,1468410.51,1456516.29
28.Apr 15:20,1808428.32,1798770.19
28.Apr 15:25,975363.09,964599.73
28.Apr 15:30,842299.95,834128.59
28.Apr 15:35,1162730.67,1151580.72
28.Apr 15:40,1039999.6,1424179.44
28.Apr 15:45,1134836.21,1128528.93
28.Apr 15:50,1506090.13,1496568.27
28.Apr 15:55,873708.96,865028.24
28.Apr 16:00,1049412.05,1039850.83
28.Apr 16:05,1376414.03,1364341.25
28.Apr 16:10,1274836.03,1260938.29
28.Apr 16:15,1372067.97,1360845.87
28.Apr 16:20,1390597.15,1380396.03
28.Apr 16:25,2318882.27,2306209.65
28.Apr 16:30,965481.12,955635.47
28.Apr 16:35,1320038.61,1309650.45
28.Apr 16:40,951034.11,940405.44
28.Apr 16:45,940923.23,931274.51
28.Apr 16:50,3393377.95,3383197.55
28.Apr 16:55,942353.23,933475.49
28.Apr 17:00,959548.59,945008.11
28.Apr 17:05,1514731.71,1497095.09
28.Apr 17:10,1052117.07,1040955.68
28.Apr 17:15,981094.88,971248.61
28.Apr 17:20,1446155.39,1434064.51
28.Apr 17:25,931294.61,921469.92
28.Apr 17:30,911158.19,901829.49
28.Apr 17:35,1019194.85,1010209.39
28.Apr 17:40,924954.75,916552.45
28.Apr 17:45,914813.07,905929.41
28.Apr 17:50,1125839.12,1116588.67
28.Apr 17:55,942105.09,932797.41
28.Apr 18:00,970440.11,960733.71
28.Apr 18:05,1342738.83,1333792.11
28.Apr 18:10,857571.84,849366.51
28.Apr 18:15,2278340.4,2268615.23
28.Apr 18:20,1593132.91,1583845.73
28.Apr 18:25,2826496.72,2815122.99
28.Apr 18:30,982393.44,971515.33
28.Apr 18:35,1950067.79,1940148.72
28.Apr 18:40,4136634.69,4129719.89
28.Apr 18:45,797540,790195.49
28.Apr 18:50,877564.48,869559.57
28.Apr 18:55,888628.61,879569.57
28.Apr 19:00,2807859.04,2799151.68
28.Apr 19:05,1616869.76,1606508.77
28.Apr 19:10,898472.99,889015.92
28.Apr 19:15,807996.24,800434.43
28.Apr 19:20,1422288.19,1413558.43
28.Apr 19:25,2133306.75,2124600.37
28.Apr 19:30,1706559.31,1698593.31
28.Apr 19:35,1350906.72,1343228.37
28.Apr 19:40,820087.41,812188.51
28.Apr 19:45,820695.33,813599.33
28.Apr 19:50,1130535.92,1121627.23
28.Apr 19:55,876697.81,868613.31
28.Apr 20:00,889093.95,880770.03
28.Apr 20:05,2910107.41,2899199.57
28.Apr 20:10,982763.81,973399.07
28.Apr 20:15,906592.99,897398.19
28.Apr 20:20,865160.56,857066.21
28.Apr 20:25,848984.69,842036.24
28.Apr 20:30,932068.77,923415.49
28.Apr 20:35,1048920.75,1039863.55
28.Apr 20:40,1141611.07,1131155.28
28.Apr 20:45,910982.56,901614.61
28.Apr 20:50,1048971.04,1039344.67
28.Apr 20:55,841072.05,833211.01
28.Apr 21:00,797092.69,789983.55
28.Apr 21:05,959476.61,951102.59
28.Apr 21:10,816187.09,808602.11
28.Apr 21:15,882613.23,874851.57
28.Apr 21:20,946155.47,937493.84
28.Apr 21:25,816608.8,809816.91
28.Apr 21:30,952974.37,943998.77
28.Apr 21:35,1198440.75,1188676.8
28.Apr 21:40,910482.56,902101.81
28.Apr 21:45,823307.2,816718.43
28.Apr 21:50,1048315.17,1041510.24
28.Apr 21:55,1045838.16,1037365.49
28.Apr 22:00,969422.16,960902.75
28.Apr 22:05,1168734.64,1159508.72
28.Apr 22:10,955983.63,946895.92
28.Apr 22:15,934108.69,925535.52
28.Apr 22:20,1202671.97,1192417.41
28.Apr 22:25,880561.47,871171.57
28.Apr 22:30,898246.21,888688.03
28.Apr 22:35,834271.49,826094.19
28.Apr 22:40,835514.24,827987.73
28.Apr 22:45,862233.63,853849.57
28.Apr 22:50,868056.24,860407.33
28.Apr 22:55,873442.91,865902.61
28.Apr 23:00,837541.84,829698.32
28.Apr 23:05,1093771.87,1083568.56
28.Apr 23:10,866275.39,857509.41
28.Apr 23:15,761461.12,754900.56
28.Apr 23:20,981937.68,974590
28.Apr 23:25,811929.17,804132.99
28.Apr 23:30,936752.64,927418.45
28.Apr 23:35,1041806.53,1032991.41
28.Apr 23:40,856670.51,848255.68
28.Apr 23:45,839137.92,830829.92
28.Apr 23:50,1077168.96,1068090.03
28.Apr 23:55,884227.23,875972.16
29.Apr 00:00,969472.19,962517.25
29.Apr 00:05,1270402.96,1260205.55
29.Apr 00:10,824875.12,816506.64
29.Apr 00:15,1203369.28,1194224.03
29.Apr 00:20,2863527.15,2854331.65
29.Apr 00:25,863900.27,855858.93
29.Apr 00:30,2999612.19,2989480.51
29.Apr 00:35,772243.92,764491.39
29.Apr 00:40,862843.23,1634737.76
29.Apr 00:45,810997.87,803652.56
29.Apr 00:50,897869.07,890055.36
29.Apr 00:55,801978.35,794327.71
29.Apr 01:00,822404.75,814793.89
29.Apr 01:05,1147298.13,1140261.79
29.Apr 01:10,778628.72,771312.11
29.Apr 01:15,756532.45,749390.56
29.Apr 01:20,858003.87,850520.56
29.Apr 01:25,790269.39,783031.17
29.Apr 01:30,781497.63,774208.96
29.Apr 01:35,815856.67,808260.08
29.Apr 01:40,793478.64,786697.17
29.Apr 01:45,783388.99,776014.19
29.Apr 01:50,999843.01,992571.81
29.Apr 01:55,798019.73,790123.01
